Move Number,Move,Nodes Evaluated,Time Taken (s)
1,g1 -> h3,581,0.0106
2,g8 -> h6,621,0.0275
3,h3 -> g5,617,0.0221
4,h6 -> g4,1466,0.0305
5,b1 -> c3,1171,0.023
6,b8 -> c6,2306,0.0439
7,c3 -> d5,1608,0.0557
8,e7 -> e6,2465,0.0435
9,d5 -> e3,3355,0.0699
10,d8 -> g5,3207,0.0586
11,h2 -> h4,2312,0.0756
12,g4 -> e3,7346,0.1269
13,h4 -> g5,3363,0.0711
14,e3 -> d1,8226,0.1401
15,e1 -> d1,2046,0.0406
16,f8 -> e7,2329,0.0527
17,h1 -> h5,871,0.027
18,e8 -> f8,2731,0.0584
19,d1 -> e1,1020,0.0306
20,f8 -> g8,2321,0.0476
21,e1 -> d1,984,0.0204
22,g8 -> f8,2176,0.0446
23,d1 -> e1,1020,0.0249
24,f8 -> g8,2321,0.0423
25,e1 -> d1,984,0.049
26,g8 -> f8,2176,0.0837
27,d1 -> e1,1020,0.0253
28,f8 -> g8,2321,0.0422
29,e1 -> d1,984,0.0236
30,g8 -> f8,2176,0.0367
31,d1 -> e1,1020,0.0298
32,f8 -> g8,2321,0.0379
33,a1 -> b1,961,0.0285
34,a8 -> b8,2222,0.0562
35,e1 -> d1,976,0.024
36,g8 -> f8,2054,0.0367
37,d1 -> e1,1012,0.0429
38,f8 -> g8,2196,0.0375
39,e1 -> d1,976,0.024
40,g8 -> f8,2054,0.0394
41,d1 -> e1,1012,0.0245
42,f8 -> g8,2196,0.0411
43,e1 -> d1,976,0.0346
44,g8 -> f8,2054,0.068
45,d1 -> e1,1012,0.0215
46,f8 -> g8,2196,0.037
47,e1 -> d1,976,0.0447
48,g8 -> f8,2054,0.0406
49,g2 -> g3,1082,0.0299
50,f8 -> g8,2203,0.0444
51,f1 -> h3,1145,0.0288
52,g8 -> f8,2069,0.0395
53,h3 -> g4,1204,0.028
54,f8 -> g8,2469,0.0415
55,g4 -> h3,1309,0.0267
56,g8 -> f8,2069,0.0366
57,h3 -> g4,1204,0.0525
58,f8 -> g8,2469,0.0541
59,g4 -> h3,1309,0.0318
60,g8 -> f8,2069,0.039
61,h3 -> g4,1204,0.0319
62,f8 -> g8,2469,0.0419
63,g4 -> h3,1309,0.0541
64,g8 -> f8,2069,0.0572
65,h3 -> g4,1204,0.046
66,f8 -> e8,2585,0.0562
67,g4 -> f3,1388,0.0342
68,c6 -> d8,3432,0.1544
69,f3 -> g4,1344,0.0792
70,e8 -> f8,1949,0.0655
71,g4 -> f3,1165,0.0295
72,f8 -> g8,1754,0.0679
73,f3 -> g4,1276,0.0613
74,g8 -> f8,1706,0.0304
75,g4 -> f3,1165,0.0283
76,f8 -> g8,1754,0.0343
77,f3 -> g4,1276,0.0787
78,g8 -> f8,1706,0.0925
79,g4 -> f3,1165,0.0525
80,f8 -> g8,1754,0.0374
81,f3 -> g4,1276,0.0291
82,g8 -> f8,1706,0.0616
83,g4 -> f3,1165,0.0323
84,f8 -> g8,1754,0.1033
85,f3 -> e4,1251,0.0297
86,b8 -> a8,2003,0.0477
87,h5 -> h7,1079,0.0455
88,h8 -> h7,122,0.0195
89,e4 -> h7,1296,0.0336
90,g8 -> h7,364,0.013
91,d2 -> d3,546,0.0137
92,d8 -> c6,812,0.0201
93,c1 -> f4,582,0.0246
94,e7 -> d8,1039,0.0259
95,d1 -> d2,888,0.0285
96,h7 -> g8,1705,0.0491
97,d2 -> e3,1153,0.0362
98,e6 -> e5,1641,0.073
99,f4 -> e5,1263,0.0423
100,d8 -> g5,927,0.0239
101,e3 -> e4,398,0.013
102,f7 -> f5,1705,0.0382
103,e4 -> f5,169,0.0076
104,c6 -> e5,1989,0.1029
105,f5 -> g5,584,0.0121
106,c7 -> c5,2784,0.0522
107,g5 -> h5,882,0.0232
108,g8 -> h8,770,0.0203
109,h5 -> g5,830,0.0181
110,h8 -> g8,674,0.014
111,g5 -> h5,882,0.0245
112,g8 -> h8,770,0.0363
113,h5 -> g5,830,0.0336
114,h8 -> g8,674,0.015
115,g5 -> h5,882,0.021
116,g8 -> h8,770,0.0165
117,h5 -> g5,830,0.0181
118,h8 -> g8,674,0.0126
119,g5 -> h5,882,0.0184
120,g8 -> h8,770,0.02
121,h5 -> g5,807,0.0209
122,h8 -> g8,879,0.0215
