Move#,Move,Nodes Evaluated,Time Taken (s)
1,g1 -> h3,9323,0.2372
2,g8 -> h6,9302,0.2107
3,h3 -> g5,9354,0.1426
4,h6 -> g4,10782,0.1806
5,b1 -> c3,15162,0.2416
6,b8 -> c6,16363,0.2908
7,c3 -> d5,18911,0.2781
8,e7 -> e6,19761,0.3154
9,d5 -> e3,31289,0.4615
10,d8 -> g5,31323,0.519
11,h2 -> h4,19617,0.2979
12,g4 -> e3,46869,0.7035
13,h4 -> g5,20840,0.3605
14,e3 -> d1,27941,0.4231
15,e1 -> d1,19483,0.3174
16,f8 -> e7,19447,0.3048
17,h1 -> h5,19886,0.3363
18,e8 -> f8,22390,0.3561
19,d1 -> e1,16806,0.2493
20,f8 -> g8,18664,0.3589
21,e1 -> d1,16150,0.2457
22,g8 -> f8,17202,0.268
23,d1 -> e1,16806,0.2552
24,f8 -> g8,18664,0.3041
25,e1 -> d1,16150,0.2579
26,g8 -> f8,17202,0.2839
27,d1 -> e1,16806,0.2516
28,f8 -> g8,18664,0.3479
29,e1 -> d1,16150,0.2469
30,g8 -> f8,17202,0.2609
31,d1 -> e1,16806,0.2472
32,f8 -> g8,18664,0.3325
33,a1 -> b1,16127,0.2524
34,a8 -> b8,17116,0.2539
35,e1 -> d1,15528,0.2523
36,g8 -> f8,16183,0.2528
37,d1 -> e1,16184,0.2456
38,f8 -> g8,17574,0.2618
39,e1 -> d1,15528,0.2338
40,g8 -> f8,16183,0.243
41,d1 -> e1,16184,0.258
42,f8 -> g8,17574,0.2618
43,e1 -> d1,15528,0.3085
44,g8 -> f8,16183,0.2458
45,d1 -> e1,16184,0.2411
46,f8 -> g8,17574,0.2703
47,e1 -> d1,15528,0.2582
48,g8 -> f8,16183,0.2609
49,g2 -> g3,16161,0.2627
50,f8 -> g8,18406,0.2728
51,f1 -> h3,16774,0.2591
52,g8 -> f8,16747,0.2643
53,h3 -> g4,17318,0.2584
54,f8 -> g8,19212,0.3114
55,g4 -> h3,17976,0.3325
56,g8 -> f8,16747,0.2635
57,h3 -> g4,17318,0.2593
58,f8 -> g8,19212,0.2929
59,g4 -> h3,17976,0.2932
60,g8 -> f8,16747,0.2722
61,h3 -> g4,17318,0.2605
62,f8 -> g8,19212,0.3001
63,g4 -> h3,17976,0.272
64,g8 -> f8,16747,0.2734
65,h3 -> g4,17318,0.2578
66,f8 -> e8,19186,0.3703
67,g4 -> f3,20065,0.2931
68,c6 -> d8,22519,0.3434
69,f3 -> g4,20187,0.3164
70,e8 -> f8,16432,0.2673
71,g4 -> f3,16711,0.2525
72,f8 -> g8,16421,0.2493
73,f3 -> g4,18656,0.3004
74,g8 -> f8,13852,0.2656
75,g4 -> f3,16711,0.2709
76,f8 -> g8,16421,0.25
77,f3 -> g4,18656,0.2797
78,g8 -> f8,13852,0.2391
79,g4 -> f3,16711,0.2583
80,f8 -> g8,16421,0.2561
81,f3 -> g4,18656,0.3261
82,g8 -> f8,13852,0.2348
83,g4 -> f3,16711,0.2666
84,f8 -> g8,16421,0.2679
85,f3 -> e4,18631,0.3803
86,b8 -> a8,16629,0.2827
87,h5 -> h7,22093,0.3284
88,h8 -> h7,17176,0.2733
89,e4 -> h7,17709,0.2752
90,g8 -> h7,1333,0.0254
91,d2 -> d3,6345,0.1071
92,d8 -> c6,10773,0.1666
93,c1 -> f4,10301,0.1934
94,e7 -> d8,17188,0.2679
95,d1 -> d2,12110,0.2071
96,h7 -> g8,14590,0.2443
97,d2 -> e3,18040,0.3293
98,e6 -> e5,12587,0.1995
99,f4 -> e5,10844,0.1736
100,d8 -> g5,14043,0.2502
101,e3 -> e4,2774,0.054
102,f7 -> f5,21383,0.3318
103,e4 -> f5,2179,0.0372
104,c6 -> e5,18582,0.2945
105,f5 -> g5,13376,0.271
106,c7 -> c5,9998,0.1552
107,g5 -> h5,10360,0.1728
108,g8 -> h8,9552,0.1531
109,h5 -> g5,8591,0.1953
110,h8 -> g8,7320,0.1434
111,g5 -> h5,10360,0.1857
112,g8 -> h8,9552,0.1483
113,h5 -> g5,8591,0.1415
114,h8 -> g8,7320,0.1206
115,g5 -> h5,10360,0.1827
116,g8 -> h8,9552,0.1493
117,h5 -> g5,8591,0.159
118,h8 -> g8,7320,0.1239
119,g5 -> h5,10360,0.1705
120,g8 -> h8,9552,0.1532
121,h5 -> g5,8568,0.1383
122,h8 -> g8,6834,0.1135
